160001836,丿KOG丶浪淘沙,0,0,1209,0,0,1,0,0,0,1,1,0,0,0,0,7,5,14,0,0,0,0
260014785,荷仙姑她姨,0,0,745,0,3,9,0,0,0,0,0,0,0,0,0,1,0,7,0,0,4,0
30490922,v点点爱v,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
150038248,肖冰郡主,0,0,157,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0
50001669,丿为你上线,0,0,493,0,0,0,0,0,0,0,16,0,2,0,0,2,2,10,0,0,8,0
110058680,魅力无迪,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
300028594,兜兜里有大山,0,0,185,0,0,0,0,0,0,0,5,0,0,0,0,1,1,11,0,0,0,0
240000494,寂寞de小\,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,6,0
150031996,花丶自飘零,0,0,463,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,10,0
10279135,鱼金黄色,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40016572,不在平凡,0,0,875,0,0,86,0,0,0,1,0,0,0,0,0,12,2,14,0,0,2,0
60082533,太白刀客,0,0,1943,0,0,1,1,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0
50008310,0鬼魅儿0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90006452,潜伏狙击手,0,0,787,0,0,0,3,0,0,1,0,0,0,0,0,2,0,11,0,0,0,0
71186880,土豆11号,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
220034040,赤脚VS螳螂,0,0,152,0,0,1352,0,0,0,1,0,0,0,0,0,13,0,8,0,0,0,0
140023070,丽丽薯片,0,0,299,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
280007159,晴空飞燕,0,0,803,0,2,0,3,0,0,0,3,0,0,0,0,4,0,6,0,0,6,0
200034269,大漠汉子,0,0,626,0,0,70,0,0,0,0,0,0,0,0,0,11,1,9,0,0,0,0
170985449,久而旧之Love,0,0,1002,0,0,0,1,0,0,0,0,0,2,0,0,6,1,11,0,0,0,0
80007094,星月楚楚,0,0,887,0,0,1,0,0,0,1,1,0,0,0,0,4,1,8,0,0,0,0
30025488,A杨柳依依A,0,0,706,0,0,0,2,0,0,0,0,0,0,0,0,3,1,11,0,0,4,0
